Class,Precision,Recall,F1 Score,Accuracy
62,0.8972972972972973,1.0,0.9458689458689459,1.0
63,0.9933333333333333,0.9551282051282052,0.9738562091503268,0.9551282051282052
64,1.0,0.9235668789808917,0.9602649006622517,0.9235668789808917
65,0.8691099476439791,1.0,0.9299719887955182,1.0
66,0.8159203980099502,1.0,0.8986301369863013,1.0
67,0.8877005347593583,1.0,0.9405099150141643,1.0
68,0.8972972972972973,1.0,0.9458689458689459,1.0
69,1.0,1.0,1.0,1.0
70,0.9880952380952381,1.0,0.9940119760479041,1.0
71,1.0,1.0,1.0,1.0
72,1.0,0.7816901408450704,0.8774703557312253,0.7816901408450704
73,0.9772727272727273,0.8431372549019608,0.9052631578947369,0.8431372549019608
74,0.9605263157894737,0.8795180722891566,0.9182389937106918,0.8795180722891566
75,0.9283018867924528,1.0,0.9628180039138943,1.0
76,1.0,0.9207317073170732,0.9587301587301588,0.9207317073170732
77,0.7210526315789474,0.8353658536585366,0.7740112994350282,0.8353658536585366
78,1.0,0.90625,0.9508196721311475,0.90625
79,1.0,1.0,1.0,1.0
80,0.8413461538461539,0.9831460674157303,0.9067357512953368,0.9831460674157303
81,0.8823529411764706,1.0,0.9375,1.0
82,0.9567901234567902,1.0,0.9779179810725552,1.0
83,0.477124183006536,1.0,0.6460176991150443,1.0
84,1.0,1.0,1.0,1.0
85,1.0,1.0,1.0,1.0
86,0.9595375722543352,1.0,0.9793510324483776,1.0
87,0.6978723404255319,1.0,0.8220551378446115,1.0
88,0.9111111111111111,1.0,0.9534883720930233,1.0
89,0.9448818897637795,0.7317073170731707,0.8247422680412371,0.7317073170731707
90,0.96875,0.7560975609756098,0.8493150684931506,0.7560975609756098
91,0.6091954022988506,0.45689655172413796,0.5221674876847291,0.45689655172413796
92,1.0,1.0,1.0,1.0
93,0.8736263736263736,0.9578313253012049,0.9137931034482759,0.9578313253012049
94,0.9512195121951219,1.0,0.975,1.0
95,0.9696969696969697,0.6274509803921569,0.7619047619047619,0.6274509803921569
96,0.9183673469387755,0.8132530120481928,0.8626198083067093,0.8132530120481928
97,0.844106463878327,1.0,0.9154639175257732,1.0
98,0.8446215139442231,0.8945147679324894,0.8688524590163934,0.8945147679324894
99,0.9763313609467456,0.9939759036144579,0.9850746268656716,0.9939759036144579
100,0.6859504132231405,1.0,0.8137254901960784,1.0
101,1.0,0.9932432432432432,0.9966101694915255,0.9932432432432432
102,1.0,0.8717948717948718,0.9315068493150684,0.8717948717948718
103,0.8755760368663594,0.8558558558558559,0.8656036446469249,0.8558558558558559
104,1.0,1.0,1.0,1.0
105,1.0,1.0,1.0,1.0
106,0.8677248677248677,1.0,0.9291784702549575,1.0
107,0.9757575757575757,0.9698795180722891,0.972809667673716,0.9698795180722891
108,1.0,1.0,1.0,1.0
109,0.9939393939393939,0.9879518072289156,0.9909365558912386,0.9879518072289156
110,1.0,0.8278145695364238,0.9057971014492754,0.8278145695364238
111,1.0,0.9788732394366197,0.9893238434163701,0.9788732394366197
112,0.9240121580547113,1.0,0.9605055292259084,1.0
113,1.0,0.6707317073170732,0.8029197080291971,0.6707317073170732
114,1.0,0.9607843137254902,0.98,0.9607843137254902
115,0.6979166666666666,0.8933333333333333,0.783625730994152,0.8933333333333333
116,0.9136690647482014,0.8410596026490066,0.8758620689655172,0.8410596026490066
117,0.9343065693430657,0.8533333333333334,0.89198606271777,0.8533333333333334
118,0.9393939393939394,0.8266666666666667,0.8794326241134752,0.8266666666666667
119,1.0,1.0,1.0,1.0
120,0.8440860215053764,0.9573170731707317,0.8971428571428571,0.9573170731707317
121,0.9880952380952381,1.0,0.9940119760479041,1.0
122,1.0,1.0,1.0,1.0
123,0.9813664596273292,0.9753086419753086,0.978328173374613,0.9753086419753086
124,1.0,0.725609756097561,0.8409893992932862,0.725609756097561
125,0.7788461538461539,0.9878048780487805,0.8709677419354839,0.9878048780487805
126,0.9818181818181818,0.9759036144578314,0.9788519637462235,0.9759036144578314
127,0.9764705882352941,1.0,0.9880952380952381,1.0
128,1.0,1.0,1.0,1.0
129,0.9911894273127754,1.0,0.995575221238938,1.0
130,0.8913043478260869,1.0,0.9425287356321839,1.0
131,1.0,1.0,1.0,1.0
132,1.0,1.0,1.0,1.0
133,1.0,1.0,1.0,1.0
134,0.9694656488549618,1.0,0.9844961240310077,1.0
135,1.0,1.0,1.0,1.0
136,0.9937106918238994,1.0,0.9968454258675079,1.0
137,0.9188191881918819,1.0,0.9576923076923077,1.0
138,1.0,1.0,1.0,1.0
139,0.975609756097561,1.0,0.9876543209876543,1.0
140,1.0,1.0,1.0,1.0
